assemblage;sample_name;Cystoseira.sp;Cymodocea.nodosa;Padina.pavonica;Halopteris.scoparia
no_restored;TN1_AB;0;0;11.6;18.3
no_restored;TN1_C;0;0;11.6;18.3
no_restored;TN2_AB;0;0;31.6;49.1
no_restored;TN2_C;0;0;31.6;49.1
no_restored;TN3_AB;0;0;44.5;0
no_restored;TN3_C;0;0;44.5;0
restored_forest;TR1_AB;80.2;21.2;6;16.2
restored_forest;TR1_C;80.2;21.2;6;16.2
restored_forest;TR2_AB;46.4;9;2.8;14.3
restored_forest;TR2_C;46.4;9;2.8;14.3
restored_forest;TR3_AB;83.7;0;14.3;10.8
restored_forest;TR3_C;83.7;0;14.3;10.8
cala_rotja_forest;FR1_AB;101.1;19;0.6;0
cala_rotja_forest;FR1_C;101.1;19;0.6;0
cala_rotja_forest;FR2_AB;73.4;0.3;0.6;0
cala_rotja_forest;FR2_C;73.4;0.3;0.6;0
cala_rotja_forest;FR3_AB;63.8;9.7;2.5;0
cala_rotja_forest;FR3_C;63.8;9.7;2.5;0
miami_forest;FM1_AB;39.3;70.9;5.9;0
miami_forest;FM1_C;39.3;70.9;5.9;0
miami_forest;FM2_AB;44.2;78.9;4;0
miami_forest;FM2_C;44.2;78.9;4;0
miami_forest;FM3_AB;30.3;69;7.4;0
miami_forest;FM3_C;30.3;69;7.4;0
