codi;assemblage;bay;codi_comunitat;codi_simple;fraction
TN1_AB;Teulera_no_restaurat;Teulera;TN;TN1;AB
TN1_C;Teulera_no_restaurat;Teulera;TN;TN1;C
TN2_AB;Teulera_no_restaurat;Teulera;TN;TN2;AB
TN2_C;Teulera_no_restaurat;Teulera;TN;TN2;C
TN3_AB;Teulera_no_restaurat;Teulera;TN;TN3;AB
TN3_C;Teulera_no_restaurat;Teulera;TN;TN3;C
TR1_AB;Teulera_restaurat;Teulera;TR;TR1;AB
TR1_C;Teulera_restaurat;Teulera;TR;TR1;C
TR2_AB;Teulera_restaurat;Teulera;TR;TR2;AB
TR2_C;Teulera_restaurat;Teulera;TR;TR2;C
TR3_AB;Teulera_restaurat;Teulera;TR;TR3;AB
TR3_C;Teulera_restaurat;Teulera;TR;TR3;C
FR1_AB;Fornells_Cala_Roja;Fornells;FR;FR1;AB
FR1_C;Fornells_Cala_Roja;Fornells;FR;FR1;C
FR2_AB;Fornells_Cala_Roja;Fornells;FR;FR2;AB
FR2_C;Fornells_Cala_Roja;Fornells;FR;FR2;C
FR3_AB;Fornells_Cala_Roja;Fornells;FR;FR3;AB
FR3_C;Fornells_Cala_Roja;Fornells;FR;FR3;C
FM1_AB;Fornells_Miami;Fornells;FM;FM1;AB
FM1_C;Fornells_Miami;Fornells;FM;FM1;C
FM2_AB;Fornells_Miami;Fornells;FM;FM2;AB
FM2_C;Fornells_Miami;Fornells;FM;FM2;C
FM3_AB;Fornells_Miami;Fornells;FM;FM3;AB
FM3_C;Fornells_Miami;Fornells;FM;FM3;C
